Age,Employee Count,Employee Id,Gender,Marital Status,Over 18,Over Time,Num Companies Worked,Standard Hours,Department,Business Travel,Job Role,Job Level,Job Involvement,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Training Times Last Year,Daily Rate,Hourly Rate,Monthly Rate,MonthlyIncome,Percent Salary Hike,Stock Option Level,Environment Satisfaction,Job Satisfaction,Relationship Satisfaction,Work Life Balance,Performance Rating,Education,Education Field,Attrition,Distance From Home
35,1,14,Male,Married,Y,No,0,80,Research & Development,Travel_Rarely,Laboratory Technician,1,4,6,5,4,0,3,5,809,84,16479,2426,13,1,1,2,3,3,3,3,Medical,No,16
29,1,15,Female,Single,Y,Yes,0,80,Research & Development,Travel_Rarely,Laboratory Technician,2,2,10,9,5,0,8,3,153,49,12682,4193,12,0,4,3,4,3,3,2,Life Sciences,No,15
31,1,16,Male,Divorced,Y,No,1,80,Research & Development,Travel_Rarely,Research Scientist,1,3,5,5,2,4,3,1,670,31,15170,2911,17,1,1,3,4,2,3,1,Life Sciences,No,26
34,1,18,Male,Divorced,Y,No,0,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,3,2,2,1,2,2,1346,93,8758,2661,11,1,2,4,3,3,3,2,Medical,No,19
28,1,19,Male,Single,Y,Yes,5,80,Research & Development,Travel_Rarely,Laboratory Technician,1,2,6,4,2,0,3,4,103,50,12947,2028,14,0,3,3,2,3,3,3,Life Sciences,Yes,24
29,1,20,Female,Divorced,Y,No,1,80,Research & Development,Travel_Rarely,Manufacturing Director,3,4,10,10,9,8,8,1,1389,51,10195,9980,11,1,2,1,3,3,3,4,Life Sciences,No,21
32,1,21,Male,Divorced,Y,Yes,0,80,Research & Development,Travel_Rarely,Research Scientist,1,4,7,6,2,0,5,5,334,80,15053,3298,12,2,1,2,4,2,3,2,Life Sciences,No,5
22,1,22,Male,Divorced,Y,Yes,1,80,Research & Development,Non-Travel,Laboratory Technician,1,4,1,1,0,0,0,2,1123,96,7324,2935,13,2,4,4,2,2,3,2,Medical,No,16
53,1,23,Female,Married,Y,No,2,80,Sales,Travel_Rarely,Manager,4,2,31,25,8,3,7,3,1219,78,22021,15427,16,0,1,4,3,3,3,4,Life Sciences,No,2
38,1,24,Male,Single,Y,Yes,5,80,Research & Development,Travel_Rarely,Research Scientist,1,3,6,3,2,1,2,3,371,45,4306,3944,11,0,4,4,3,3,3,3,Life Sciences,No,2
24,1,26,Female,Divorced,Y,No,0,80,Research & Development,Non-Travel,Manufacturing Director,2,4,5,4,2,1,3,5,673,96,8232,4011,18,1,1,3,4,2,3,2,Other,No,11
36,1,27,Male,Single,Y,No,7,80,Sales,Travel_Rarely,Sales Representative,1,2,10,5,3,0,3,4,1218,82,6986,3407,23,0,3,1,2,3,4,4,Life Sciences,Yes,9
34,1,28,Female,Single,Y,No,0,80,Research & Development,Travel_Rarely,Research Director,3,3,13,12,6,2,11,4,419,53,21293,11994,11,0,1,2,3,3,3,4,Life Sciences,No,7
21,1,30,Male,Single,Y,No,1,80,Research & Development,Travel_Rarely,Research Scientist,1,3,0,0,0,0,0,6,391,96,19281,1232,14,0,3,4,4,3,3,2,Life Sciences,No,15
34,1,31,Male,Single,Y,No,2,80,Research & Development,Travel_Rarely,Research Scientist,1,3,8,4,2,1,3,2,699,83,17102,2960,11,0,2,1,3,3,3,1,Medical,Yes,6
53,1,32,Female,Divorced,Y,No,4,80,Research & Development,Travel_Rarely,Manager,5,3,26,14,13,4,8,3,1282,58,10735,19094,11,1,3,3,4,2,3,3,Other,No,5
32,1,33,Female,Single,Y,Yes,1,80,Research & Development,Travel_Frequently,Research Scientist,1,1,10,10,2,6,7,5,1125,72,4681,3919,22,0,2,1,2,3,4,1,Life Sciences,Yes,16
42,1,35,Male,Married,Y,No,0,80,Sales,Travel_Rarely,Sales Executive,2,3,10,9,7,4,2,2,691,48,21173,6825,11,1,3,2,4,3,3,4,Marketing,No,8
44,1,36,Female,Married,Y,No,3,80,Research & Development,Travel_Rarely,Healthcare Representative,3,2,24,22,6,5,17,4,477,42,2094,10248,14,1,1,4,4,3,3,4,Medical,No,7
46,1,38,Female,Single,Y,No,3,80,Sales,Travel_Rarely,Manager,5,3,22,2,2,2,1,2,705,83,22822,18947,12,0,2,1,4,2,3,4,Marketing,No,2
33,1,39,Male,Single,Y,No,4,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,7,1,1,0,0,3,924,78,6670,2496,11,0,3,4,4,3,3,3,Medical,No,2
44,1,40,Male,Married,Y,Yes,2,80,Research & Development,Travel_Rarely,Healthcare Representative,2,3,9,4,2,1,3,5,1459,41,19121,6465,13,0,4,4,4,4,3,4,Other,No,10
30,1,41,Male,Single,Y,No,1,80,Research & Development,Travel_Rarely,Laboratory Technician,1,2,10,10,0,1,8,5,125,83,16117,2206,13,0,4,3,1,3,3,2,Medical,No,9
39,1,42,Male,Married,Y,No,3,80,Sales,Travel_Rarely,Sales Representative,2,3,19,1,0,0,0,6,895,56,3335,2086,14,1,4,4,3,4,3,3,Technical Degree,Yes,5
24,1,45,Male,Married,Y,Yes,2,80,Research & Development,Travel_Rarely,Research Scientist,1,3,6,2,0,2,0,2,813,61,3020,2293,16,1,2,4,1,2,3,3,Medical,Yes,1
43,1,46,Female,Divorced,Y,No,1,80,Research & Development,Travel_Rarely,Research Scientist,1,4,6,5,3,1,4,3,1273,72,21923,2645,12,2,4,3,4,2,3,2,Medical,No,2
50,1,47,Male,Married,Y,Yes,1,80,Sales,Travel_Rarely,Sales Representative,1,2,3,3,2,0,2,2,869,86,3810,2683,14,0,1,3,3,3,3,2,Marketing,Yes,3
35,1,49,Female,Married,Y,No,1,80,Sales,Travel_Rarely,Sales Representative,1,3,2,2,2,2,2,3,890,97,9687,2014,13,0,4,4,1,3,3,3,Marketing,No,2
36,1,51,Female,Married,Y,Yes,9,80,Research & Development,Travel_Rarely,Research Scientist,1,2,6,1,1,0,0,3,852,82,13072,3419,14,1,2,1,4,4,3,4,Life Sciences,No,5
33,1,52,Female,Married,Y,No,2,80,Sales,Travel_Frequently,Sales Executive,2,4,10,5,3,1,3,3,1141,42,3193,5376,19,2,3,1,1,3,3,3,Life Sciences,No,1
35,1,53,Male,Divorced,Y,No,1,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,1,1,0,0,0,3,464,75,10910,1951,12,1,3,4,3,3,3,2,Other,No,4
27,1,54,Female,Divorced,Y,No,1,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,1,1,0,0,0,6,1240,33,19715,2341,13,1,4,1,4,3,3,4,Life Sciences,No,2
26,1,55,Male,Single,Y,No,1,80,Research & Development,Travel_Rarely,Laboratory Technician,1,1,1,1,0,0,1,2,1357,48,10558,2293,12,0,1,3,3,2,3,3,Life Sciences,Yes,25
27,1,56,Male,Single,Y,No,1,80,Sales,Travel_Frequently,Sales Executive,3,3,9,9,8,1,7,0,994,37,2975,8726,15,0,4,3,4,3,3,3,Life Sciences,No,8
30,1,57,Female,Single,Y,No,1,80,Research & Development,Travel_Frequently,Laboratory Technician,2,3,12,12,8,3,7,2,721,58,10781,4011,23,0,3,4,4,3,4,2,Medical,No,1
41,1,58,Female,Married,Y,No,1,80,Research & Development,Travel_Rarely,Research Director,5,3,23,22,15,15,8,0,1360,49,16280,19545,12,0,2,3,4,3,3,3,Technical Degree,Yes,12
34,1,60,Male,Single,Y,No,0,80,Sales,Non-Travel,Sales Executive,2,3,10,9,5,8,7,2,1065,72,10034,4568,20,0,2,3,3,3,4,4,Marketing,No,23
37,1,61,Male,Married,Y,No,4,80,Research & Development,Travel_Rarely,Research Scientist,1,3,8,1,0,0,0,1,408,73,10227,3022,21,0,2,2,1,3,4,2,Life Sciences,No,19
46,1,62,Male,Single,Y,Yes,4,80,Sales,Travel_Frequently,Sales Executive,2,3,14,9,6,0,8,4,1211,98,20445,5772,21,0,1,4,3,3,4,4,Marketing,No,5
35,1,63,Male,Married,Y,No,1,80,Research & Development,Travel_Rarely,Laboratory Technician,1,4,1,1,0,0,1,2,1229,36,4892,2269,19,0,4,4,4,3,3,1,Life Sciences,No,8
48,1,64,Male,Single,Y,Yes,9,80,Research & Development,Travel_Rarely,Laboratory Technician,3,2,23,1,0,0,0,2,626,98,19294,5381,13,0,1,3,4,3,3,2,Life Sciences,Yes,1
28,1,65,Male,Single,Y,Yes,1,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,2,2,2,2,2,3,1434,50,11179,3441,13,0,3,3,3,2,3,4,Technical Degree,Yes,5
44,1,68,Female,Divorced,Y,Yes,5,80,Sales,Travel_Rarely,Sales Executive,2,3,9,4,3,1,3,2,1488,75,4009,5454,21,1,2,1,3,2,4,5,Marketing,No,1
35,1,70,Male,Married,Y,Yes,2,80,Research & Development,Non-Travel,Healthcare Representative,3,2,10,4,0,2,3,3,1097,79,8302,9884,13,1,3,1,3,3,3,2,Medical,No,11
26,1,72,Female,Married,Y,Yes,7,80,Sales,Travel_Rarely,Sales Executive,2,2,5,2,2,0,0,2,1443,47,21436,4157,19,1,3,4,3,2,3,3,Marketing,No,23
33,1,73,Female,Single,Y,Yes,1,80,Research & Development,Travel_Frequently,Research Director,3,3,15,15,14,8,12,1,515,98,15146,13458,12,0,1,4,3,3,3,2,Life Sciences,No,1
35,1,74,Male,Married,Y,No,1,80,Sales,Travel_Frequently,Sales Executive,3,3,9,9,8,1,8,3,853,71,11031,9069,22,1,2,1,4,2,4,5,Life Sciences,No,18
35,1,75,Female,Married,Y,Yes,3,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,4,2,2,2,2,3,1142,30,16002,4014,15,1,3,1,3,3,3,4,Medical,No,23
31,1,76,Male,Divorced,Y,No,3,80,Research & Development,Travel_Rarely,Laboratory Technician,2,3,10,7,7,1,7,3,655,48,9528,5915,22,1,4,4,4,2,4,4,Life Sciences,No,7
37,1,77,Male,Divorced,Y,No,1,80,Research & Development,Travel_Rarely,Manufacturing Director,2,2,7,7,5,0,7,2,1115,51,2689,5993,18,1,1,3,3,4,3,4,Life Sciences,No,1
32,1,78,Male,Married,Y,Yes,1,80,Research & Development,Travel_Rarely,Manufacturing Director,2,3,9,9,8,7,8,3,427,33,10877,6162,22,1,1,4,2,3,4,3,Medical,No,1
38,1,79,Female,Single,Y,No,1,80,Research & Development,Travel_Frequently,Laboratory Technician,2,3,10,10,3,9,9,2,653,50,5456,2406,11,0,4,4,4,3,3,5,Life Sciences,No,29
50,1,80,Female,Divorced,Y,Yes,5,80,Research & Development,Travel_Rarely,Research Director,5,2,29,27,3,13,8,2,989,43,16701,18740,12,1,2,3,4,2,3,2,Medical,No,7
59,1,81,Female,Single,Y,No,7,80,Sales,Travel_Rarely,Sales Executive,3,3,28,21,16,7,9,3,1435,99,2354,7637,11,0,1,1,4,2,3,3,Life Sciences,No,25
36,1,83,Female,Divorced,Y,No,1,80,Research & Development,Travel_Rarely,Healthcare Representative,3,3,17,17,14,12,8,2,1223,59,8202,10096,13,3,3,3,2,3,3,3,Technical Degree,No,8
55,1,84,Female,Divorced,Y,Yes,2,80,Research & Development,Travel_Rarely,Manager,4,3,21,5,0,0,2,2,836,33,19730,14756,14,3,4,3,3,3,3,3,Medical,No,8
36,1,85,Male,Single,Y,No,1,80,Research & Development,Travel_Frequently,Manufacturing Director,2,2,6,6,5,0,3,3,1195,95,22656,6499,13,0,2,2,3,3,3,3,Life Sciences,No,11
45,1,86,Male,Divorced,Y,No,2,80,Research & Development,Travel_Rarely,Research Scientist,3,3,25,1,0,0,0,2,1339,59,18787,9724,17,1,2,1,3,3,3,3,Life Sciences,No,7
35,1,88,Male,Married,Y,No,4,80,Research & Development,Travel_Frequently,Research Scientist,1,3,5,3,2,1,2,2,664,79,5868,2194,13,1,2,1,4,2,3,3,Medical,No,1
36,1,90,Male,Married,Y,Yes,0,80,Research & Development,Travel_Rarely,Research Scientist,1,2,2,1,0,0,0,0,318,79,21777,3388,17,1,4,3,1,2,3,3,Medical,Yes,9
59,1,91,Female,Single,Y,No,7,80,Sales,Travel_Frequently,Sales Executive,2,2,20,4,3,1,3,2,1225,57,24668,5473,11,0,1,3,4,2,3,1,Life Sciences,No,1
29,1,94,Male,Married,Y,No,0,80,Research & Development,Travel_Rarely,Research Scientist,1,3,6,5,4,0,4,3,1328,76,4956,2703,23,1,3,2,4,3,4,3,Life Sciences,No,2
31,1,95,Male,Single,Y,No,1,80,Research & Development,Travel_Rarely,Research Scientist,1,3,1,1,1,1,0,4,1082,87,18775,2501,17,0,3,2,2,3,3,4,Medical,No,1
32,1,96,Male,Married,Y,No,1,80,Research & Development,Travel_Rarely,Research Scientist,2,3,10,10,4,0,9,3,548,66,7346,6220,17,2,2,2,2,3,3,3,Life Sciences,No,1
36,1,97,Female,Married,Y,No,3,80,Research & Development,Travel_Rarely,Laboratory Technician,1,4,5,1,0,0,0,3,132,55,22002,3038,12,0,2,4,2,3,3,3,Life Sciences,No,6
31,1,98,Female,Single,Y,No,1,80,Research & Development,Travel_Rarely,Manufacturing Director,2,3,11,11,7,1,8,2,746,61,20682,4424,23,0,3,4,4,3,4,4,Life Sciences,No,8
35,1,100,Male,Single,Y,No,0,80,Sales,Travel_Rarely,Sales Executive,2,2,16,15,13,2,8,2,776,32,23016,4312,14,0,3,1,2,3,3,4,Marketing,No,1
45,1,101,Male,Married,Y,Yes,4,80,Research & Development,Travel_Rarely,Research Director,3,3,17,0,0,0,0,3,193,52,15067,13245,14,0,4,1,2,4,3,4,Other,No,6
37,1,102,Male,Single,Y,No,4,80,Research & Development,Travel_Rarely,Research Director,3,3,16,5,2,0,2,3,397,30,25258,13664,13,0,1,3,1,4,3,4,Medical,No,7
46,1,103,Male,Divorced,Y,Yes,8,80,Human Resources,Travel_Rarely,Human Resources,2,3,16,4,2,0,2,2,945,80,10425,5021,22,1,2,2,4,3,4,2,Medical,No,5
30,1,104,Male,Married,Y,Yes,1,80,Research & Development,Travel_Rarely,Laboratory Technician,2,2,10,10,8,3,0,1,852,55,15998,5126,12,2,4,4,3,2,3,1,Life Sciences,No,1
35,1,105,Male,Single,Y,No,1,80,Research & Development,Travel_Rarely,Research Scientist,1,2,6,6,4,0,4,3,1214,30,26278,2859,18,0,2,3,1,3,3,3,Medical,No,1
55,1,106,Male,Married,Y,No,3,80,Sales,Travel_Rarely,Sales Executive,3,3,24,1,0,1,0,4,111,70,18092,10239,14,1,1,4,4,3,3,2,Life Sciences,No,1
38,1,107,Female,Divorced,Y,Yes,7,80,Research & Development,Non-Travel,Research Scientist,2,1,17,13,11,1,9,3,573,79,15717,5329,12,3,2,4,4,3,3,3,Medical,No,6
34,1,110,Male,Married,Y,No,1,80,Research & Development,Travel_Rarely,Manufacturing Director,2,3,5,5,2,1,3,2,1153,94,17736,4325,15,0,1,2,3,3,3,2,Medical,No,1
56,1,112,Male,Single,Y,No,4,80,Research & Development,Travel_Rarely,Manufacturing Director,3,1,37,6,4,0,2,3,1400,49,21698,7260,11,0,4,4,1,2,3,3,Life Sciences,No,7
23,1,113,Male,Divorced,Y,No,3,80,Sales,Travel_Rarely,Sales Representative,1,3,3,0,0,0,0,3,541,62,9518,2322,13,1,3,1,3,3,3,1,Technical Degree,No,2
51,1,116,Male,Married,Y,No,3,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,10,4,2,0,3,4,432,96,18725,2075,23,2,4,4,2,3,4,4,Life Sciences,No,9
30,1,117,Male,Married,Y,No,1,80,Research & Development,Travel_Rarely,Healthcare Representative,2,2,11,11,10,10,8,3,288,99,15830,4152,19,3,3,4,1,3,3,3,Life Sciences,No,2
46,1,118,Male,Single,Y,No,1,80,Sales,Travel_Rarely,Sales Executive,3,2,9,9,8,4,7,3,669,64,13596,9619,16,0,3,4,4,3,3,2,Medical,Yes,9
40,1,119,Male,Married,Y,No,1,80,Research & Development,Travel_Frequently,Healthcare Representative,4,2,22,22,3,11,11,3,530,78,14115,13503,22,1,3,2,4,2,4,4,Life Sciences,No,1
51,1,120,Male,Single,Y,Yes,0,80,Sales,Travel_Rarely,Sales Executive,2,3,11,10,7,1,0,2,632,71,8423,5441,22,0,3,4,4,1,4,4,Marketing,No,21
30,1,121,Female,Divorced,Y,Yes,1,80,Sales,Travel_Rarely,Sales Executive,2,2,11,11,8,2,7,4,1334,63,19760,5209,12,3,3,2,2,2,3,2,Medical,No,4
46,1,124,Male,Married,Y,Yes,2,80,Research & Development,Travel_Frequently,Healthcare Representative,3,2,21,10,9,9,5,5,638,40,3142,10673,13,1,3,1,3,2,3,3,Medical,No,1
32,1,125,Male,Single,Y,No,1,80,Sales,Travel_Rarely,Sales Executive,2,3,12,11,8,5,7,0,1093,87,24301,5010,16,0,2,3,1,3,3,4,Medical,No,6
54,1,126,Female,Married,Y,No,9,80,Research & Development,Travel_Rarely,Research Director,3,3,16,4,3,0,3,5,1217,60,24001,13549,12,1,1,3,1,1,3,4,Technical Degree,No,2
24,1,128,Female,Married,Y,No,0,80,Sales,Travel_Rarely,Sales Executive,2,3,4,3,2,0,2,2,1353,33,17519,4999,21,1,1,3,1,2,4,2,Other,No,3
28,1,129,Male,Married,Y,No,1,80,Sales,Non-Travel,Sales Executive,2,3,5,5,4,0,4,3,120,43,8863,4221,15,0,2,3,2,4,3,3,Medical,No,4
58,1,131,Male,Single,Y,No,0,80,Sales,Travel_Rarely,Sales Executive,4,3,38,37,10,1,8,1,682,37,24409,13872,13,0,4,3,3,2,3,4,Medical,No,10
44,1,132,Male,Married,Y,No,4,80,Research & Development,Non-Travel,Laboratory Technician,2,3,17,3,2,1,2,3,489,67,25043,2042,12,1,2,2,3,4,3,3,Medical,No,23
37,1,133,Male,Divorced,Y,Yes,4,80,Human Resources,Travel_Rarely,Human Resources,1,3,7,3,2,0,2,3,807,63,23648,2073,22,0,3,1,4,3,4,4,Human Resources,Yes,6
32,1,134,Male,Single,Y,No,1,80,Research & Development,Travel_Rarely,Research Scientist,1,3,1,1,0,0,0,2,827,71,15178,2956,13,0,4,1,4,3,3,1,Life Sciences,No,1
20,1,137,Female,Single,Y,Yes,1,80,Research & Development,Travel_Frequently,Laboratory Technician,1,2,1,1,0,1,0,5,871,66,19783,2926,18,0,4,4,2,3,3,3,Life Sciences,Yes,6
34,1,138,Female,Single,Y,No,1,80,Research & Development,Travel_Rarely,Research Scientist,2,3,16,16,13,2,10,3,665,41,12482,4809,14,0,1,3,3,3,3,4,Other,No,6
37,1,139,Male,Divorced,Y,No,5,80,Research & Development,Non-Travel,Healthcare Representative,2,2,17,1,0,0,0,2,1040,100,15850,5163,14,1,3,4,4,4,3,2,Life Sciences,No,2
59,1,140,Female,Married,Y,No,9,80,Human Resources,Non-Travel,Manager,5,2,30,3,2,2,2,3,1420,32,21922,18844,21,1,3,4,4,3,4,4,Human Resources,No,2
50,1,141,Female,Married,Y,Yes,3,80,Research & Development,Travel_Frequently,Research Director,5,3,28,8,3,0,7,1,1115,73,9755,18172,19,0,1,2,1,2,3,3,Life Sciences,No,1
25,1,142,Male,Single,Y,Yes,1,80,Sales,Travel_Rarely,Sales Executive,2,2,6,6,4,0,3,1,240,46,26959,5744,11,0,3,3,4,3,3,3,Marketing,Yes,5
25,1,143,Male,Married,Y,No,1,80,Research & Development,Travel_Rarely,Research Scientist,1,2,2,2,2,2,1,2,1280,64,26897,2889,11,2,4,4,3,3,3,1,Medical,No,7
22,1,144,Female,Single,Y,No,1,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,1,0,0,0,0,5,534,59,23785,2871,15,0,2,4,3,3,3,3,Medical,No,15
51,1,145,Female,Single,Y,No,3,80,Research & Development,Travel_Frequently,Healthcare Representative,3,2,23,13,12,12,8,1,1456,30,25796,7484,20,0,1,1,3,2,4,4,Medical,No,1
34,1,147,Male,Single,Y,Yes,1,80,Research & Development,Travel_Frequently,Laboratory Technician,2,1,9,9,7,0,6,3,658,66,22887,6074,24,0,1,3,4,3,4,3,Life Sciences,Yes,7
54,1,148,Female,Single,Y,Yes,2,80,Human Resources,Non-Travel,Manager,4,4,23,5,3,4,4,3,142,30,13871,17328,12,0,4,4,3,3,3,3,Human Resources,No,26
24,1,150,Male,Married,Y,No,0,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,6,5,3,1,2,2,1127,52,13257,2774,12,1,2,3,3,3,3,1,Life Sciences,No,18
34,1,151,Female,Divorced,Y,No,6,80,Research & Development,Travel_Rarely,Research Scientist,2,2,12,1,0,0,0,3,1031,45,15000,4505,15,1,3,2,3,3,3,4,Life Sciences,No,6
37,1,152,Male,Single,Y,No,2,80,Sales,Travel_Rarely,Sales Executive,3,3,12,5,3,1,3,3,1189,87,14506,7428,12,0,3,4,1,3,3,3,Life Sciences,No,3
34,1,153,Female,Single,Y,No,2,80,Research & Development,Travel_Rarely,Manager,3,2,14,11,10,5,8,6,1354,45,5615,11631,12,0,3,1,4,3,3,3,Medical,No,5
36,1,154,Female,Married,Y,No,0,80,Sales,Travel_Frequently,Sales Executive,3,3,10,9,7,2,8,6,1467,92,22952,9738,14,1,2,4,3,3,3,2,Technical Degree,No,11
36,1,155,Female,Divorced,Y,No,5,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,7,1,0,0,0,2,922,39,2561,2835,22,1,1,4,1,3,4,2,Life Sciences,No,3
43,1,158,Male,Married,Y,Yes,1,80,Sales,Travel_Frequently,Manager,4,3,25,25,12,4,12,3,394,92,19494,16959,12,2,3,4,4,4,3,2,Life Sciences,No,26
30,1,159,Male,Divorced,Y,No,1,80,Research & Development,Travel_Frequently,Research Scientist,1,1,10,10,7,0,9,2,1312,96,22310,2613,25,3,1,3,3,2,4,3,Life Sciences,No,23
33,1,160,Male,Married,Y,No,0,80,Sales,Non-Travel,Sales Executive,2,3,8,7,7,0,7,2,750,95,15480,6146,13,1,3,2,1,4,3,2,Marketing,No,22
56,1,161,Female,Married,Y,Yes,9,80,Research & Development,Travel_Rarely,Research Scientist,1,3,7,5,4,4,3,2,441,72,4510,4963,18,3,2,2,1,3,3,4,Life Sciences,Yes,14
51,1,162,Male,Single,Y,No,7,80,Research & Development,Travel_Rarely,Research Director,5,3,23,20,18,15,15,5,684,51,6462,19537,13,0,1,3,3,3,3,3,Life Sciences,No,6
31,1,163,Male,Married,Y,Yes,4,80,Sales,Travel_Rarely,Sales Executive,2,1,12,7,7,7,7,3,249,76,20739,6172,18,0,2,3,2,2,3,4,Life Sciences,Yes,6
26,1,164,Female,Married,Y,No,1,80,Research & Development,Travel_Rarely,Research Scientist,1,2,5,5,4,4,3,3,841,46,23300,2368,19,0,3,2,3,2,3,3,Other,No,6
58,1,165,Female,Married,Y,No,1,80,Research & Development,Travel_Rarely,Healthcare Representative,3,3,40,40,10,15,6,3,147,94,3465,10312,12,1,4,4,4,2,3,4,Medical,Yes,23
19,1,167,Male,Single,Y,Yes,1,80,Sales,Travel_Rarely,Sales Representative,1,3,0,0,0,0,0,2,528,50,26820,1675,19,0,4,3,4,2,3,1,Marketing,Yes,22
22,1,169,Male,Married,Y,No,0,80,Research & Development,Travel_Rarely,Laboratory Technician,1,3,3,2,1,2,1,2,594,100,19299,2523,14,1,3,4,3,3,3,1,Technical Degree,No,2
49,1,170,Female,Married,Y,No,1,80,Research & Development,Travel_Rarely,Manufacturing Director,2,3,16,15,11,5,11,2,470,96,5549,6567,14,0,3,1,3,2,3,4,Medical,No,20
43,1,171,Female,Single,Y,No,4,80,Research & Development,Travel_Frequently,Research Scientist,1,4,18,3,2,1,2,2,957,72,16090,4739,12,0,2,3,4,3,3,3,Medical,No,28
50,1,174,Female,Single,Y,No,4,80,Sales,Travel_Frequently,Sales Executive,3,3,16,2,2,2,1,3,809,77,6645,9208,11,0,3,4,4,3,3,3,Marketing,No,12
31,1,175,Female,Married,Y,Yes,3,80,Sales,Travel_Rarely,Sales Executive,2,1,4,2,2,2,2,2,542,71,24788,4559,11,1,2,3,3,3,3,3,Life Sciences,Yes,20
41,1,176,Male,Divorced,Y,Yes,3,80,Sales,Travel_Rarely,Sales Executive,3,3,12,9,7,0,7,2,802,96,21196,8189,13,1,3,3,3,3,3,1,Life Sciences,No,9
26,1,177,Female,Married,Y,No,1,80,Human Resources,Travel_Rarely,Human Resources,1,3,8,8,7,5,7,3,1355,61,8916,2942,23,1,3,3,4,3,4,1,Life Sciences,No,25
36,1,178,Male,Divorced,Y,No,6,80,Research & Development,Travel_Rarely,Manufacturing Director,2,3,7,3,2,0,1,0,216,84,2819,4941,20,2,2,2,4,3,4,2,Medical,No,6
51,1,179,Male,Single,Y,No,2,80,Research & Development,Travel_Frequently,Manufacturing Director,3,1,18,4,2,0,3,2,1150,53,25150,10650,15,0,1,4,4,3,3,4,Life Sciences,Yes,8
39,1,182,Female,Married,Y,No,4,80,Sales,Travel_Rarely,Sales Executive,2,2,17,15,11,5,9,1,1329,47,14590,5902,14,1,4,3,3,4,3,4,Life Sciences,No,4
25,1,183,Male,Married,Y,No,2,80,Sales,Travel_Rarely,Sales Executive,2,2,6,2,2,2,2,3,959,41,24835,8639,18,0,1,3,4,3,3,3,Life Sciences,No,28
30,1,184,Male,Married,Y,Yes,0,80,Human Resources,Travel_Rarely,Human Resources,2,3,12,11,9,4,7,2,1240,48,13982,6347,19,0,3,4,4,1,3,3,Human Resources,No,9
